location,bedrooms,bathrooms,size_sqft,furnishing,rent_price
Business Bay,1,2,1129,Unfurnished,123000
Palm Jumeirah,3,4,2127,Unfurnished,347000
Dubai Marina,1,2,737,Unfurnished,83000
Downtown Dubai,0,1,528,Furnished,69000
Palm Jumeirah,3,4,2108,Furnished,287000
Business Bay,1,2,1103,Unfurnished,96000
International City,0,1,484,Unfurnished,19000
Dubai Sports City,1,2,1079,Furnished,82000
International City,2,3,1116,Unfurnished,52000
Business Bay,2,2,1218,Unfurnished,130000
Dubai Silicon Oasis,1,2,743,Furnished,62000
Dubai Marina,1,1,913,Furnished,93000
Dubai Silicon Oasis,1,1,706,Unfurnished,45000
Dubai Sports City,2,3,1424,Furnished,91000
Business Bay,0,1,353,Furnished,41000
Dubai Sports City,1,2,1009,Unfurnished,58000
Jumeirah Village Circle (JVC),0,1,490,Unfurnished,34000
Business Bay,0,1,607,Unfurnished,55000
Al Nahda,2,3,1633,Unfurnished,86000
Al Nahda,1,2,768,Furnished,53000
Dubai Silicon Oasis,2,3,1624,Furnished,110000
Dubai Silicon Oasis,2,2,1646,Unfurnished,94000
Dubai Marina,3,4,2573,Furnished,299000
International City,1,1,765,Furnished,35000
Downtown Dubai,0,1,548,Unfurnished,60000
Jumeirah Village Circle (JVC),1,2,769,Unfurnished,62000
Dubai Sports City,1,1,1048,Unfurnished,70000
Jumeirah Lake Towers (JLT),2,2,1265,Unfurnished,120000
International City,1,1,869,Unfurnished,41000
Business Bay,0,1,512,Unfurnished,52000
Downtown Dubai,1,1,1074,Unfurnished,115000
Dubai Marina,2,3,1413,Furnished,163000
Jumeirah Beach Residence (JBR),3,3,2249,Unfurnished,312000
Discovery Gardens,1,2,1050,Partly Furnished,76000
International City,1,1,959,Unfurnished,45000
International City,2,3,1541,Unfurnished,55000
Downtown Dubai,1,2,790,Unfurnished,109000
Discovery Gardens,1,1,858,Unfurnished,52000
Business Bay,2,2,1150,Unfurnished,94000
International City,2,2,1357,Unfurnished,68000
Downtown Dubai,1,2,784,Unfurnished,109000
Palm Jumeirah,1,2,917,Furnished,172000
Dubai Silicon Oasis,1,2,960,Unfurnished,56000
Al Nahda,2,3,1146,Furnished,68000
Discovery Gardens,0,1,504,Furnished,29000
Dubai Silicon Oasis,2,2,1555,Unfurnished,89000
Business Bay,0,1,597,Unfurnished,65000
Palm Jumeirah,1,2,964,Unfurnished,146000
International City,1,2,1064,Unfurnished,37000
Jumeirah Village Circle (JVC),2,3,1511,Unfurnished,99000
Discovery Gardens,1,1,790,Unfurnished,35000
Dubai Silicon Oasis,2,3,1320,Furnished,85000
Dubai Marina,0,1,374,Furnished,47000
Dubai Silicon Oasis,1,1,881,Unfurnished,53000
Jumeirah Lake Towers (JLT),2,3,1605,Furnished,192000
Jumeirah Village Circle (JVC),1,2,1067,Unfurnished,57000
Jumeirah Lake Towers (JLT),0,1,586,Partly Furnished,48000
Jumeirah Lake Towers (JLT),1,2,1147,Unfurnished,104000
Discovery Gardens,0,1,384,Furnished,21000
Dubai Marina,2,2,1306,Unfurnished,150000
Palm Jumeirah,2,2,1679,Unfurnished,239000
Jumeirah Lake Towers (JLT),1,1,996,Unfurnished,80000
Jumeirah Village Circle (JVC),3,3,1748,Furnished,128000
Dubai Sports City,3,3,2343,Partly Furnished,165000
Dubai Silicon Oasis,1,2,755,Unfurnished,49000
Business Bay,2,3,1694,Furnished,164000
Discovery Gardens,2,3,1456,Unfurnished,72000
Jumeirah Village Circle (JVC),2,3,1563,Furnished,139000
Al Nahda,2,2,1658,Unfurnished,65000
Downtown Dubai,3,3,1942,Furnished,325000
Dubai Silicon Oasis,2,3,1158,Furnished,72000
Dubai Marina,3,4,2454,Unfurnished,313000
Jumeirah Lake Towers (JLT),1,1,1090,Unfurnished,76000
Business Bay,0,1,381,Furnished,43000
Jumeirah Lake Towers (JLT),2,2,1199,Furnished,101000
Dubai Marina,1,1,842,Unfurnished,102000
Jumeirah Village Circle (JVC),1,2,1140,Unfurnished,97000
Al Nahda,4,5,2561,Unfurnished,104000
Downtown Dubai,3,4,2269,Unfurnished,280000
Discovery Gardens,1,1,791,Unfurnished,36000
Al Nahda,2,2,1656,Furnished,84000
Dubai Silicon Oasis,0,1,553,Furnished,35000
Jumeirah Village Circle (JVC),0,1,411,Unfurnished,29000
Downtown Dubai,3,3,2010,Unfurnished,181000
Jumeirah Beach Residence (JBR),2,2,1146,Furnished,172000
Al Nahda,1,2,1029,Furnished,53000
Jumeirah Lake Towers (JLT),2,2,1553,Partly Furnished,118000
International City,2,3,1664,Unfurnished,71000
Dubai Silicon Oasis,2,3,1549,Unfurnished,101000
Discovery Gardens,2,3,1657,Furnished,98000
Dubai Silicon Oasis,1,1,1079,Furnished,102000
Downtown Dubai,1,2,980,Furnished,125000
Jumeirah Beach Residence (JBR),2,2,1651,Furnished,227000
Business Bay,1,1,866,Furnished,97000
Al Nahda,1,2,978,Unfurnished,40000
Palm Jumeirah,1,1,1152,Partly Furnished,186000
Business Bay,0,1,456,Unfurnished,42000
Dubai Silicon Oasis,2,3,1650,Partly Furnished,98000
Dubai Sports City,1,2,745,Furnished,48000
Dubai Silicon Oasis,2,3,1545,Unfurnished,105000
Dubai Marina,4,4,4175,Furnished,516000
Downtown Dubai,1,2,788,Furnished,122000
Discovery Gardens,1,1,751,Unfurnished,48000
International City,1,2,830,Unfurnished,42000
Jumeirah Beach Residence (JBR),1,1,1102,Unfurnished,138000
Dubai Sports City,2,2,1220,Furnished,112000
Palm Jumeirah,2,3,1623,Unfurnished,194000
Business Bay,4,4,3929,Furnished,485000
Al Nahda,1,2,842,Unfurnished,33000
Downtown Dubai,3,4,2371,Unfurnished,240000
Al Nahda,2,2,1331,Unfurnished,59000
Jumeirah Village Circle (JVC),2,2,1536,Furnished,117000
Dubai Marina,2,2,1504,Furnished,170000
Jumeirah Beach Residence (JBR),0,1,377,Furnished,57000
Dubai Marina,3,4,1930,Furnished,237000
Dubai Silicon Oasis,3,3,1784,Furnished,102000
Dubai Marina,1,1,1122,Furnished,130000
Discovery Gardens,0,1,479,Furnished,23000
Palm Jumeirah,2,3,1488,Furnished,304000
Dubai Silicon Oasis,2,3,1636,Partly Furnished,119000
Dubai Sports City,0,1,574,Partly Furnished,43000
Business Bay,2,2,1470,Furnished,201000
Al Nahda,1,1,874,Unfurnished,49000
Dubai Sports City,1,2,945,Furnished,79000
Business Bay,2,3,1431,Unfurnished,122000
Jumeirah Village Circle (JVC),3,4,2427,Unfurnished,148000
Dubai Silicon Oasis,0,1,527,Furnished,39000
Dubai Silicon Oasis,1,1,1024,Unfurnished,72000
Jumeirah Beach Residence (JBR),0,1,612,Unfurnished,54000
Dubai Silicon Oasis,1,2,1165,Unfurnished,81000
Al Nahda,0,1,626,Furnished,42000
Palm Jumeirah,1,2,857,Furnished,143000
Jumeirah Village Circle (JVC),1,2,988,Furnished,77000
Jumeirah Beach Residence (JBR),1,1,718,Unfurnished,90000
International City,1,2,1029,Unfurnished,48000
Al Nahda,1,1,921,Unfurnished,35000
Dubai Sports City,1,2,711,Unfurnished,47000
Palm Jumeirah,1,2,996,Unfurnished,128000
Dubai Marina,0,1,608,Unfurnished,61000
Business Bay,3,3,1925,Partly Furnished,216000
Jumeirah Village Circle (JVC),2,2,1642,Unfurnished,119000
Jumeirah Lake Towers (JLT),1,2,1119,Unfurnished,88000
Al Nahda,4,4,3710,Furnished,220000
Business Bay,2,3,1326,Furnished,151000
Downtown Dubai,0,1,402,Unfurnished,49000
Business Bay,3,3,1799,Furnished,189000
Dubai Sports City,2,2,1562,Furnished,105000
Business Bay,2,3,1487,Furnished,164000
International City,1,2,893,Unfurnished,45000
International City,1,2,1097,Unfurnished,52000
Discovery Gardens,2,3,1177,Partly Furnished,69000
Dubai Silicon Oasis,2,2,1310,Furnished,106000
Palm Jumeirah,0,1,500,Unfurnished,61000
Dubai Silicon Oasis,1,1,1118,Unfurnished,52000
Al Nahda,2,3,1654,Unfurnished,84000
Dubai Silicon Oasis,3,4,1936,Unfurnished,127000
Jumeirah Lake Towers (JLT),1,2,855,Unfurnished,57000
Jumeirah Lake Towers (JLT),1,2,961,Unfurnished,61000
Al Nahda,1,2,746,Unfurnished,36000
Al Nahda,3,4,2012,Furnished,115000
Jumeirah Village Circle (JVC),3,3,2169,Unfurnished,176000
Dubai Silicon Oasis,1,2,1165,Furnished,101000
Jumeirah Lake Towers (JLT),2,3,1574,Furnished,130000
Jumeirah Beach Residence (JBR),1,1,874,Unfurnished,106000
Dubai Sports City,1,1,889,Unfurnished,43000
Jumeirah Beach Residence (JBR),4,5,3887,Unfurnished,488000
International City,2,2,1466,Unfurnished,71000
Jumeirah Village Circle (JVC),2,2,1570,Furnished,142000
Jumeirah Beach Residence (JBR),1,2,708,Furnished,97000
Jumeirah Village Circle (JVC),2,3,1689,Unfurnished,105000
Downtown Dubai,1,2,773,Unfurnished,97000
Jumeirah Lake Towers (JLT),2,2,1493,Unfurnished,116000
Dubai Sports City,1,2,957,Unfurnished,68000
Dubai Silicon Oasis,3,3,1921,Furnished,152000
Dubai Sports City,2,3,1282,Furnished,109000
Jumeirah Village Circle (JVC),2,2,1203,Furnished,93000
Jumeirah Village Circle (JVC),1,2,739,Unfurnished,42000
Discovery Gardens,0,1,486,Unfurnished,27000
Discovery Gardens,1,2,941,Furnished,53000
Palm Jumeirah,2,3,1377,Furnished,226000
Dubai Silicon Oasis,2,3,1235,Unfurnished,69000
Downtown Dubai,1,2,1082,Unfurnished,136000
Palm Jumeirah,1,1,988,Furnished,184000
Al Nahda,2,3,1214,Partly Furnished,64000
International City,0,1,359,Furnished,18000
Jumeirah Lake Towers (JLT),3,3,1876,Furnished,176000
Dubai Marina,1,2,1186,Unfurnished,127000
Dubai Silicon Oasis,3,4,2502,Furnished,212000
Dubai Marina,1,2,834,Unfurnished,106000
Al Nahda,2,2,1202,Partly Furnished,53000
Dubai Silicon Oasis,3,4,1789,Partly Furnished,126000
Downtown Dubai,2,3,1444,Unfurnished,154000
Dubai Sports City,1,2,1143,Unfurnished,63000
Palm Jumeirah,2,3,1456,Unfurnished,250000
Jumeirah Village Circle (JVC),1,1,784,Partly Furnished,63000
Discovery Gardens,0,1,490,Partly Furnished,22000
Palm Jumeirah,1,2,1179,Partly Furnished,184000
Dubai Marina,2,3,1491,Unfurnished,179000
Dubai Silicon Oasis,4,5,3761,Unfurnished,208000
Business Bay,3,3,2275,Furnished,263000
Jumeirah Lake Towers (JLT),0,1,368,Partly Furnished,27000
International City,1,2,789,Unfurnished,27000
Dubai Sports City,0,1,525,Unfurnished,41000
Jumeirah Village Circle (JVC),1,2,935,Unfurnished,49000
Discovery Gardens,1,2,1152,Furnished,80000
Dubai Marina,2,3,1514,Furnished,230000
Jumeirah Lake Towers (JLT),2,2,1232,Unfurnished,129000
Discovery Gardens,2,3,1291,Unfurnished,68000
Al Nahda,0,1,511,Furnished,28000
Jumeirah Village Circle (JVC),2,3,1341,Furnished,106000
Jumeirah Lake Towers (JLT),3,3,1817,Furnished,164000
Discovery Gardens,1,2,827,Furnished,61000
Dubai Sports City,2,3,1144,Partly Furnished,72000
Dubai Silicon Oasis,2,2,1366,Furnished,127000
Al Nahda,3,3,2356,Unfurnished,107000
Downtown Dubai,2,3,1280,Furnished,145000
International City,1,2,879,Unfurnished,37000
Dubai Marina,2,3,1228,Unfurnished,136000
Jumeirah Beach Residence (JBR),1,1,826,Partly Furnished,124000
Discovery Gardens,4,5,2510,Unfurnished,134000
Discovery Gardens,2,2,1634,Unfurnished,94000
Business Bay,3,4,2154,Unfurnished,246000
Jumeirah Beach Residence (JBR),2,2,1626,Partly Furnished,226000
Dubai Sports City,1,1,715,Furnished,69000
Dubai Marina,2,2,1176,Furnished,127000
Jumeirah Village Circle (JVC),1,2,770,Furnished,75000
Dubai Marina,0,1,543,Furnished,66000
Discovery Gardens,4,5,3297,Unfurnished,146000
Dubai Sports City,1,2,709,Unfurnished,42000
Dubai Marina,2,3,1565,Unfurnished,152000
Dubai Silicon Oasis,0,1,494,Unfurnished,26000
Palm Jumeirah,1,2,705,Furnished,119000
Dubai Sports City,1,1,866,Unfurnished,49000
Business Bay,0,1,493,Furnished,48000
Downtown Dubai,3,3,2172,Furnished,408000
Downtown Dubai,1,2,745,Unfurnished,93000
Jumeirah Lake Towers (JLT),1,1,1083,Unfurnished,99000
Downtown Dubai,1,1,747,Furnished,96000
Business Bay,3,4,1876,Partly Furnished,223000
Jumeirah Lake Towers (JLT),1,2,901,Unfurnished,91000
Jumeirah Lake Towers (JLT),2,2,1122,Unfurnished,88000
Jumeirah Village Circle (JVC),2,3,1121,Furnished,96000
Palm Jumeirah,1,2,875,Partly Furnished,146000
Jumeirah Beach Residence (JBR),2,3,1647,Unfurnished,149000
Al Nahda,2,2,1391,Unfurnished,73000
Jumeirah Village Circle (JVC),2,3,1227,Furnished,92000
International City,2,2,1514,Furnished,65000
Discovery Gardens,1,2,837,Unfurnished,50000
Palm Jumeirah,1,2,1071,Unfurnished,143000
Palm Jumeirah,1,1,1121,Unfurnished,167000
Palm Jumeirah,1,1,1085,Unfurnished,157000
Dubai Marina,0,1,627,Unfurnished,70000
International City,2,3,1552,Unfurnished,74000
Jumeirah Village Circle (JVC),2,2,1537,Partly Furnished,119000
International City,1,1,862,Unfurnished,35000
Discovery Gardens,1,2,984,Partly Furnished,50000
Jumeirah Beach Residence (JBR),1,1,741,Furnished,112000
Dubai Silicon Oasis,2,3,1352,Furnished,94000
International City,2,3,1190,Unfurnished,51000
Palm Jumeirah,3,3,2055,Unfurnished,259000
Jumeirah Beach Residence (JBR),1,2,903,Unfurnished,76000
Dubai Silicon Oasis,2,2,1106,Unfurnished,74000
Discovery Gardens,3,4,1864,Unfurnished,107000
Business Bay,0,1,510,Furnished,55000
Dubai Silicon Oasis,0,1,551,Unfurnished,29000
Business Bay,3,4,2464,Unfurnished,264000
Discovery Gardens,0,1,377,Furnished,30000
Downtown Dubai,3,3,2399,Furnished,451000
Dubai Silicon Oasis,0,1,390,Partly Furnished,24000
Business Bay,1,2,1074,Furnished,118000
Discovery Gardens,2,3,1681,Unfurnished,106000
Al Nahda,2,3,1519,Furnished,80000
Palm Jumeirah,1,2,1145,Unfurnished,171000
Dubai Marina,1,1,728,Unfurnished,73000
Dubai Silicon Oasis,1,1,764,Partly Furnished,45000
Jumeirah Lake Towers (JLT),2,3,1479,Furnished,154000
International City,1,2,764,Unfurnished,32000
Business Bay,1,1,1195,Unfurnished,92000
Discovery Gardens,2,3,1198,Partly Furnished,82000
Jumeirah Village Circle (JVC),4,5,3416,Partly Furnished,203000
Dubai Sports City,0,1,369,Furnished,27000
Business Bay,1,2,980,Partly Furnished,125000
Dubai Silicon Oasis,3,4,2561,Furnished,157000
Business Bay,1,2,903,Furnished,108000
Jumeirah Beach Residence (JBR),1,2,707,Furnished,92000
Jumeirah Village Circle (JVC),0,1,488,Unfurnished,42000
Dubai Silicon Oasis,1,2,1053,Unfurnished,69000
Dubai Marina,1,2,1144,Partly Furnished,104000
Jumeirah Beach Residence (JBR),3,3,1974,Furnished,216000
Jumeirah Village Circle (JVC),2,3,1252,Furnished,102000
International City,3,3,1858,Unfurnished,75000
Jumeirah Lake Towers (JLT),1,2,893,Partly Furnished,96000
International City,0,1,434,Unfurnished,16000
Business Bay,1,2,795,Unfurnished,76000
Dubai Sports City,0,1,481,Unfurnished,39000
Business Bay,1,1,1100,Unfurnished,107000
Downtown Dubai,3,4,1719,Unfurnished,222000
Discovery Gardens,2,3,1285,Unfurnished,62000
Jumeirah Village Circle (JVC),1,2,835,Furnished,58000
Business Bay,1,1,841,Furnished,100000
Downtown Dubai,4,4,3799,Unfurnished,391000
International City,1,1,871,Furnished,47000
Discovery Gardens,0,1,562,Furnished,43000
Dubai Sports City,2,3,1175,Unfurnished,87000
Downtown Dubai,2,2,1575,Unfurnished,154000
International City,0,1,377,Furnished,19000
Dubai Sports City,2,2,1241,Furnished,82000
Dubai Silicon Oasis,2,3,1545,Unfurnished,97000
Business Bay,2,3,1142,Unfurnished,95000
Jumeirah Beach Residence (JBR),1,2,758,Furnished,126000
International City,1,1,985,Furnished,52000
Jumeirah Lake Towers (JLT),0,1,555,Furnished,64000
Jumeirah Beach Residence (JBR),0,1,583,Furnished,66000
Discovery Gardens,1,1,856,Furnished,67000
Jumeirah Beach Residence (JBR),0,1,415,Partly Furnished,54000
International City,1,1,1042,Furnished,47000
Business Bay,1,1,815,Furnished,97000
Discovery Gardens,1,2,909,Unfurnished,49000
Dubai Sports City,2,2,1668,Unfurnished,127000
Discovery Gardens,1,1,970,Partly Furnished,42000
Discovery Gardens,1,1,1028,Furnished,58000
Palm Jumeirah,1,1,1099,Unfurnished,120000
Discovery Gardens,2,3,1501,Furnished,112000
Dubai Marina,1,1,999,Furnished,116000
Discovery Gardens,2,3,1455,Partly Furnished,86000
Discovery Gardens,2,3,1591,Unfurnished,91000
Downtown Dubai,2,2,1419,Unfurnished,183000
Business Bay,2,3,1113,Unfurnished,116000
Dubai Silicon Oasis,1,1,846,Unfurnished,47000
Downtown Dubai,2,3,1356,Unfurnished,145000
International City,1,2,969,Furnished,47000
Jumeirah Lake Towers (JLT),1,2,982,Furnished,92000
Dubai Sports City,0,1,442,Unfurnished,30000
Palm Jumeirah,2,2,1202,Unfurnished,177000
Dubai Marina,1,2,1102,Unfurnished,126000
Business Bay,1,1,1110,Unfurnished,131000
Jumeirah Lake Towers (JLT),0,1,487,Partly Furnished,46000
Dubai Sports City,1,1,769,Unfurnished,47000
Jumeirah Village Circle (JVC),2,3,1434,Unfurnished,75000
Palm Jumeirah,3,3,2367,Furnished,458000
Jumeirah Beach Residence (JBR),1,2,800,Furnished,115000
Palm Jumeirah,2,3,1546,Furnished,275000
Al Nahda,2,3,1321,Furnished,66000
Jumeirah Lake Towers (JLT),1,2,1026,Furnished,109000
Al Nahda,2,3,1333,Furnished,78000
Al Nahda,2,3,1230,Furnished,75000
Business Bay,0,1,512,Furnished,72000
Palm Jumeirah,0,1,637,Furnished,99000
Business Bay,3,4,2290,Furnished,279000
Dubai Silicon Oasis,1,1,1167,Furnished,87000
Business Bay,2,2,1408,Furnished,161000
Dubai Sports City,1,1,998,Furnished,79000
Jumeirah Lake Towers (JLT),0,1,375,Furnished,41000
Dubai Marina,1,1,972,Furnished,105000
Dubai Silicon Oasis,1,1,1178,Unfurnished,57000
Dubai Marina,1,2,798,Unfurnished,97000
Palm Jumeirah,2,2,1602,Unfurnished,191000
Jumeirah Beach Residence (JBR),1,1,755,Furnished,112000
Discovery Gardens,3,3,2497,Unfurnished,135000
Dubai Sports City,1,1,1171,Furnished,98000
Discovery Gardens,3,3,2567,Unfurnished,105000
Jumeirah Village Circle (JVC),0,1,396,Furnished,28000
Al Nahda,1,2,1047,Furnished,67000
Jumeirah Lake Towers (JLT),3,4,2254,Unfurnished,165000
Dubai Marina,1,1,855,Unfurnished,101000
Jumeirah Village Circle (JVC),2,2,1101,Furnished,100000
Downtown Dubai,1,1,864,Unfurnished,119000
Business Bay,1,2,703,Furnished,95000
Al Nahda,3,4,1886,Partly Furnished,75000
Dubai Marina,2,2,1364,Unfurnished,130000
Dubai Silicon Oasis,0,1,405,Furnished,23000
Jumeirah Lake Towers (JLT),1,2,1130,Furnished,92000
Discovery Gardens,0,1,397,Unfurnished,22000
Dubai Sports City,2,2,1338,Furnished,81000
Discovery Gardens,3,3,2082,Furnished,169000
Business Bay,3,4,2276,Unfurnished,265000
International City,0,1,606,Unfurnished,28000
Jumeirah Village Circle (JVC),1,1,1133,Furnished,80000
Discovery Gardens,1,1,748,Unfurnished,49000
Jumeirah Lake Towers (JLT),1,2,1164,Unfurnished,115000
Dubai Marina,1,1,847,Unfurnished,97000
Discovery Gardens,2,2,1187,Furnished,70000
Jumeirah Beach Residence (JBR),1,1,970,Unfurnished,90000
Dubai Silicon Oasis,2,2,1111,Partly Furnished,70000
Downtown Dubai,3,3,2528,Unfurnished,247000
International City,1,1,1172,Partly Furnished,61000
Al Nahda,2,2,1116,Partly Furnished,54000
Jumeirah Lake Towers (JLT),1,1,1067,Furnished,93000
International City,1,2,1168,Unfurnished,58000
Jumeirah Beach Residence (JBR),3,4,2074,Furnished,313000
Discovery Gardens,1,1,1021,Unfurnished,51000
Dubai Marina,2,2,1563,Furnished,225000
Discovery Gardens,0,1,519,Unfurnished,23000
Dubai Silicon Oasis,1,1,974,Furnished,78000
Dubai Sports City,2,2,1698,Partly Furnished,119000
Business Bay,3,3,2116,Unfurnished,206000
Discovery Gardens,1,2,746,Partly Furnished,50000
Jumeirah Village Circle (JVC),0,1,483,Furnished,38000
Dubai Marina,1,2,1073,Partly Furnished,128000
Palm Jumeirah,1,2,882,Unfurnished,98000
Downtown Dubai,1,1,720,Unfurnished,100000
Downtown Dubai,1,1,999,Unfurnished,124000
Business Bay,1,2,1136,Unfurnished,114000
Dubai Silicon Oasis,2,3,1283,Furnished,80000
Dubai Marina,1,1,1191,Furnished,169000
Dubai Marina,0,1,449,Unfurnished,46000
Jumeirah Beach Residence (JBR),0,1,568,Furnished,95000
Al Nahda,2,3,1376,Furnished,79000
Palm Jumeirah,1,2,787,Unfurnished,85000
Jumeirah Village Circle (JVC),4,5,3584,Unfurnished,310000
Dubai Silicon Oasis,2,2,1241,Furnished,102000
Jumeirah Lake Towers (JLT),2,2,1522,Unfurnished,128000
Discovery Gardens,3,3,1811,Unfurnished,98000
Dubai Sports City,0,1,426,Unfurnished,24000
Dubai Sports City,1,1,808,Unfurnished,54000
Al Nahda,4,4,3072,Furnished,155000
Jumeirah Village Circle (JVC),1,2,1143,Furnished,73000
International City,3,4,2336,Furnished,131000
Dubai Sports City,0,1,546,Furnished,40000
Dubai Sports City,1,2,1173,Partly Furnished,68000
Palm Jumeirah,1,2,1082,Furnished,176000
Jumeirah Village Circle (JVC),1,1,933,Furnished,76000
Discovery Gardens,2,3,1571,Furnished,120000
Dubai Marina,1,1,840,Unfurnished,78000
Dubai Silicon Oasis,2,3,1302,Unfurnished,71000
International City,1,2,997,Furnished,51000
Jumeirah Village Circle (JVC),2,3,1589,Furnished,158000
Business Bay,1,2,1049,Furnished,109000
Downtown Dubai,1,2,963,Partly Furnished,119000
Dubai Sports City,1,2,1041,Partly Furnished,75000
Jumeirah Lake Towers (JLT),2,2,1130,Partly Furnished,129000
Jumeirah Beach Residence (JBR),0,1,515,Furnished,66000
Dubai Silicon Oasis,2,2,1109,Unfurnished,61000
Dubai Silicon Oasis,3,3,2547,Furnished,204000
Jumeirah Beach Residence (JBR),2,2,1556,Furnished,213000
Jumeirah Lake Towers (JLT),1,1,822,Furnished,90000
Dubai Marina,0,1,429,Furnished,52000
Discovery Gardens,1,1,724,Furnished,41000
Jumeirah Lake Towers (JLT),2,2,1644,Furnished,206000
Al Nahda,2,2,1137,Furnished,69000
Discovery Gardens,3,4,2249,Unfurnished,99000
Jumeirah Lake Towers (JLT),0,1,578,Furnished,62000
Downtown Dubai,2,2,1132,Partly Furnished,171000
Jumeirah Village Circle (JVC),1,2,728,Furnished,62000
Business Bay,1,1,896,Furnished,86000
Jumeirah Beach Residence (JBR),2,2,1665,Furnished,253000
Dubai Marina,1,1,1016,Furnished,130000
Dubai Silicon Oasis,1,2,957,Furnished,63000
Dubai Marina,2,3,1158,Furnished,123000
Discovery Gardens,2,2,1353,Unfurnished,79000
Jumeirah Beach Residence (JBR),1,1,961,Unfurnished,119000
Discovery Gardens,3,3,2032,Furnished,147000
Discovery Gardens,1,2,1119,Partly Furnished,78000
International City,0,1,480,Unfurnished,21000
Downtown Dubai,2,3,1458,Unfurnished,155000
Downtown Dubai,2,2,1429,Furnished,198000
Jumeirah Lake Towers (JLT),2,2,1464,Furnished,135000
Jumeirah Beach Residence (JBR),4,4,4113,Furnished,496000
Palm Jumeirah,0,1,524,Unfurnished,63000
International City,0,1,426,Unfurnished,16000
Jumeirah Beach Residence (JBR),0,1,514,Unfurnished,58000
Dubai Marina,2,2,1405,Unfurnished,118000
Al Nahda,2,3,1651,Unfurnished,81000
Jumeirah Beach Residence (JBR),1,2,963,Unfurnished,125000
International City,1,1,1025,Partly Furnished,49000
Jumeirah Beach Residence (JBR),2,3,1584,Unfurnished,220000
Jumeirah Beach Residence (JBR),1,2,980,Unfurnished,96000
Jumeirah Lake Towers (JLT),0,1,425,Furnished,37000
Palm Jumeirah,1,1,873,Unfurnished,146000
International City,1,1,875,Unfurnished,36000
Downtown Dubai,2,2,1533,Unfurnished,161000
Business Bay,2,3,1537,Furnished,163000
Palm Jumeirah,1,1,901,Unfurnished,147000
Palm Jumeirah,1,2,897,Unfurnished,126000
Al Nahda,3,4,2362,Unfurnished,122000
Business Bay,2,2,1480,Unfurnished,144000
Palm Jumeirah,2,2,1169,Furnished,198000
Dubai Marina,1,1,723,Unfurnished,78000
Discovery Gardens,1,1,1047,Unfurnished,59000
Downtown Dubai,1,1,1196,Furnished,177000
Palm Jumeirah,1,1,1079,Furnished,177000
Downtown Dubai,2,3,1682,Furnished,265000
Jumeirah Lake Towers (JLT),3,3,2511,Partly Furnished,180000
Jumeirah Beach Residence (JBR),1,2,865,Partly Furnished,107000
International City,3,4,2100,Unfurnished,79000
Jumeirah Lake Towers (JLT),2,2,1355,Furnished,129000
Downtown Dubai,0,1,647,Furnished,104000
Palm Jumeirah,1,2,933,Unfurnished,104000
Business Bay,1,2,922,Unfurnished,74000
Downtown Dubai,1,2,1063,Unfurnished,116000
Palm Jumeirah,0,1,613,Furnished,110000
Dubai Sports City,2,2,1209,Unfurnished,71000
Jumeirah Village Circle (JVC),1,2,865,Furnished,61000
Al Nahda,2,2,1601,Furnished,101000
Dubai Marina,1,2,1067,Furnished,117000
Dubai Sports City,2,2,1383,Furnished,129000
Dubai Marina,1,1,1189,Unfurnished,146000
Dubai Silicon Oasis,1,1,942,Unfurnished,55000
Dubai Silicon Oasis,0,1,584,Furnished,47000
Jumeirah Lake Towers (JLT),2,2,1195,Furnished,120000
Al Nahda,2,3,1580,Unfurnished,83000
International City,1,1,735,Furnished,33000
Dubai Marina,0,1,491,Furnished,66000
Dubai Silicon Oasis,0,1,510,Unfurnished,31000
Al Nahda,1,2,979,Unfurnished,54000
Jumeirah Beach Residence (JBR),1,1,1139,Unfurnished,141000
International City,3,3,2469,Furnished,107000
Downtown Dubai,0,1,480,Furnished,90000
Dubai Sports City,4,4,3261,Furnished,256000
Discovery Gardens,4,5,4128,Unfurnished,182000
Al Nahda,2,2,1392,Furnished,83000
Business Bay,3,3,2474,Unfurnished,296000
Dubai Silicon Oasis,2,2,1537,Unfurnished,85000
Discovery Gardens,1,2,1019,Furnished,74000
Downtown Dubai,2,2,1194,Furnished,152000
Downtown Dubai,1,1,893,Unfurnished,94000
Dubai Silicon Oasis,3,4,2364,Furnished,175000
Jumeirah Village Circle (JVC),3,3,1978,Unfurnished,140000
Jumeirah Village Circle (JVC),2,2,1604,Furnished,151000
Discovery Gardens,1,2,899,Unfurnished,49000
Dubai Marina,3,4,2490,Furnished,360000
Dubai Silicon Oasis,1,2,861,Furnished,58000
Dubai Sports City,2,3,1565,Unfurnished,120000
Dubai Silicon Oasis,3,3,1781,Unfurnished,121000
Dubai Marina,0,1,541,Furnished,75000
Dubai Marina,2,2,1134,Unfurnished,128000
Jumeirah Lake Towers (JLT),0,1,406,Furnished,48000
International City,1,2,835,Unfurnished,35000
Palm Jumeirah,2,3,1615,Furnished,259000
Dubai Marina,0,1,612,Unfurnished,64000
Palm Jumeirah,1,2,1116,Furnished,216000
Business Bay,1,2,1079,Partly Furnished,109000
International City,1,1,1143,Unfurnished,41000
Discovery Gardens,2,2,1194,Furnished,66000
International City,1,2,953,Partly Furnished,36000
Al Nahda,3,4,2336,Furnished,114000
